Class,Alcohol,Ash,Hue,Proline
1,14.23,2.43,1.04,1065
1,13.2,2.14,1.05,1050
1,13.16,2.67,1.03,1185
1,14.37,2.5,0.86,1480
1,13.24,2.87,1.04,735
1,14.2,2.45,1.05,1450
1,14.39,2.45,1.02,1290
1,14.06,2.61,1.06,1295
1,14.83,2.17,1.08,1045
1,13.86,2.27,1.01,1045
1,14.1,2.3,1.25,1510
1,14.12,2.32,1.17,1280
1,13.75,2.41,1.15,1320
1,14.75,2.39,1.25,1150
1,14.38,2.38,1.2,1547
1,13.63,2.7,1.28,1310
1,14.3,2.72,1.07,1280
1,13.83,2.62,1.13,1130
1,14.19,2.48,1.23,1680
1,13.64,2.56,0.96,845
1,14.06,2.28,1.09,780
1,12.93,2.65,1.03,770
1,13.71,2.36,1.11,1035
1,12.85,2.52,1.09,1015
1,13.5,2.61,1.12,845
1,13.05,3.22,1.13,830
1,13.39,2.62,0.92,1195
1,13.3,2.14,1.02,1285
1,13.87,2.8,1.25,915
1,14.02,2.21,1.04,1035
1,13.73,2.7,1.19,1285
1,13.58,2.36,1.09,1515
1,13.68,2.36,1.23,990
1,13.76,2.7,1.25,1235
1,13.51,2.65,1.1,1095
1,13.48,2.41,1.04,920
1,13.28,2.84,1.09,880
1,13.05,2.55,1.12,1105
1,13.07,2.1,1.18,1020
1,14.22,2.51,0.89,760
1,13.56,2.31,0.95,795
1,13.41,2.12,0.91,1035
1,13.88,2.59,0.88,1095
1,13.24,2.29,0.82,680
1,13.05,2.1,0.88,885
1,14.21,2.44,0.87,1080
1,14.38,2.28,1.04,1065
1,13.9,2.12,0.91,985
1,14.1,2.4,1.07,1060
1,13.94,2.27,1.12,1260
1,13.05,2.04,1.12,1150
1,13.83,2.6,1.24,1265
1,13.82,2.42,1.01,1190
1,13.77,2.68,1.13,1375
1,13.74,2.25,0.92,1060
1,13.56,2.46,0.98,1120
1,14.22,2.3,0.94,970
1,13.29,2.68,1.07,1270
1,13.72,2.5,0.89,1285
2,12.37,1.36,1.05,520
2,12.33,2.28,1.25,680
2,12.64,2.02,0.98,450
2,13.67,1.92,1.23,630
2,12.37,2.16,1.22,420
2,12.17,2.53,1.45,355
2,12.37,2.56,1.19,678
2,13.11,1.7,1.12,502
2,12.37,1.92,1.12,510
2,13.34,2.36,1.02,750
2,12.21,1.75,1.28,718
2,12.29,2.21,0.906,870
2,13.86,2.67,1.36,410
2,13.49,2.24,0.98,472
2,12.99,2.6,1.31,985
2,11.96,2.3,0.99,886
2,11.66,1.92,1.23,428
2,13.03,1.71,1.19,392
2,11.84,2.23,0.96,500
2,12.33,1.95,1.06,750
2,12.7,2.4,1.19,463
2,12,2,1.38,278
2,12.72,2.2,1.16,714
2,12.08,2.51,1.31,630
2,13.05,2.32,0.84,515
2,11.84,2.58,0.79,520
2,12.67,2.24,1.23,450
2,12.16,2.31,1.33,495
2,11.65,2.62,1.36,562
2,11.64,2.46,1,680
2,12.08,2.3,1.07,625
2,12.08,2.32,1.08,480
2,12,2.42,1.05,450
2,12.69,2.26,0.96,495
2,12.29,2.22,1.15,290
2,11.62,2.28,1.16,345
2,12.47,2.2,1.16,937
2,11.81,2.74,0.95,625
2,12.29,1.98,1.23,428
2,12.37,2.1,1.04,660
2,12.29,2.21,1.42,406
2,12.08,1.7,1.27,710
2,12.6,1.9,1.04,562
2,12.34,2.46,0.8,438
2,11.82,1.88,0.94,415
2,12.51,1.98,1.04,672
2,12.42,2.27,0.86,315
2,12.25,2.12,1,510
2,12.72,2.28,0.88,488
2,12.22,1.94,0.86,312
2,11.61,2.7,0.96,680
2,11.46,1.82,0.75,562
2,12.52,2.17,0.9,325
2,11.76,2.92,1.23,607
2,11.41,2.5,1.1,434
2,12.08,2.5,0.93,385
2,11.03,2.2,1.71,407
2,11.82,1.99,0.95,495
2,12.42,2.19,1.06,345
2,12.77,1.98,0.7,372
2,12,2,0.93,564
2,11.45,2.42,0.8,625
2,11.56,3.23,0.93,465
2,12.42,2.73,0.92,365
2,13.05,2.13,0.73,380
2,11.87,2.39,0.75,380
2,12.07,2.17,0.86,378
2,12.43,2.29,0.69,352
2,11.79,2.78,0.97,466
2,12.37,2.3,0.89,342
2,12.04,2.38,0.79,580
3,12.86,2.32,0.76,630
3,12.88,2.4,0.74,530
3,12.81,2.4,0.66,560
3,12.7,2.36,0.78,600
3,12.51,2.25,0.75,650
3,12.6,2.2,0.73,695
3,12.25,2.54,0.75,720
3,12.53,2.64,0.82,515
3,13.49,2.19,0.81,580
3,12.84,2.61,0.89,590
3,12.93,2.7,0.77,600
3,13.36,2.35,0.7,780
3,13.52,2.72,0.89,520
3,13.62,2.35,0.91,550
3,12.25,2.2,0.65,855
3,13.16,2.15,0.6,830
3,13.88,2.23,0.58,415
3,12.87,2.48,0.54,625
3,13.32,2.38,0.55,650
3,13.08,2.36,0.57,550
3,13.5,2.62,0.59,500
3,12.79,2.48,0.48,480
3,13.11,2.75,0.61,425
3,13.23,2.28,0.56,675
3,12.58,2.1,0.58,640
3,13.17,2.32,0.6,725
3,13.84,2.38,0.57,480
3,12.45,2.64,0.67,880
3,14.34,2.7,0.57,660
3,13.48,2.64,0.57,620
3,12.36,2.38,0.56,520
3,13.69,2.54,0.96,680
3,12.85,2.58,0.87,570
3,12.96,2.35,0.68,675
3,13.78,2.3,0.7,615
3,13.73,2.26,0.78,520
3,13.45,2.6,0.85,695
3,12.82,2.3,0.72,685
3,13.58,2.69,0.74,750
3,13.4,2.86,0.67,630
3,12.2,2.32,0.66,510
3,12.77,2.28,0.57,470
3,14.16,2.48,0.62,660
3,13.71,2.45,0.64,740
3,13.4,2.48,0.7,750
3,13.27,2.26,0.59,835
3,13.17,2.37,0.6,840
3,14.13,2.74,0.61,560